代號,名稱,股數
3675,德微,4.443
3679,新至陞,7.93
3680,家登,7.056
3682,亞太電,429.8
3684,榮昌,2.46
3685,政翔,7.999
3686,達能,34.96
3687,歐買尬,3.006
3689,湧德,6.968
3691,碩禾,6.099
3693,營邦,3.851
3694,海華,13.35
3698,隆達,51.23
3701,大眾控,38.07
3702,大聯大,182.5
3703,欣陸,82.32
3704,合勤控,44.12
3705,永信,26.64
3706,神達,81.86
3707,漢磊,22.91
3708,上緯投控,9.085
3709,鑫聯大投控,7.957
3710,連展投控,20.73
4102,永日,4.237
4103,百略,11
4104,佳醫,12.78
4105,東洋,24.86
4106,雃博,8.339
4107,邦特,6.93
4108,懷特,16.36
4109,穆拉德,8.188
4111,濟生,5.698
4113,聯上,20.58
4114,健喬,18.4
4116,明基醫,4.457
4119,旭富,7.949
4120,友華,8.675
4121,優盛,7.332
4123,晟德,32.06
4126,太醫,6.602
4127,天良,4.576
4128,中天,42.53
4129,聯合,7.971
4130,健亞,10.08
4131,晶宇,3.829
4133,亞諾法,6.055
4137,F-麗豐,7.949
4138,曜亞,3
4139,F-馬光,3.815
4141,F-龍燈,15.19
4142,國光生,23.77
4144,F-康聯,7.814
4147,中裕,25.03
4148,全宇生技-KY,6.403
4152,台微體,5.62
4153,鈺緯,7.437
4154,F-康樂,1.953
4155,訊映,7.406
4157,F*太景,0.209
4160,創源,2.425
4161,聿新科,5.226
4162,智擎,14.71
4163,鐿鈦,4.024
4164,承業醫,13.99
4167,展旺,24.66
4168,醣聯,7.65
4171,瑞基,3.434
4173,久裕,4.457
4174,浩鼎,17.22
4175,杏一,2.824
4180,安成藥,12.04
4183,福永生技,2.38
4188,安克,5.27
4190,F-佐登,6.115
4192,杏國,6.987
4198,環瑞醫,14.18
4205,中華食,8.07
4207,環泰,17.02
4303,信立,2
4304,勝昱,5.133
4305,世坤,5.501
4306,炎洲,53.48
4401,東隆興,12.03
4402,福大,4.599
4406,新昕纖,5.191
4413,飛寶,2.331
4414,如興,85.24
4415,台原藥,3.363
4416,三圓,6.002
4417,金洲,8.397
4419,松懋,3.258
4420,光明,4.045
4426,利勤,14.02
4429,聚紡,3.435
4430,耀億,5.627
4432,銘旺實,5.059
4433,興采,3.152
4438,廣越,10.38
4502,健信,4.43
4503,金雨,3.926
4506,崇友,17.7
4510,高鋒,10.8
4513,福裕,7.688
4523,永彰,6.4
4526,東台,25.48
4527,方土霖,7.615
4528,江興鍛,7.651
4529,昶洧,8.133
4530,宏易,4.617
4532,瑞智,49.02
4533,協易機,15.84
4534,慶騰,8.738
4535,至興,7.566
4536,拓凱,9.082
4541,晟田,5.414
4542,科嶠,2.829
4543,萬在,5.684
4545,銘鈺,7.7
4549,桓達,4.039
4550,長佳,3.446
4551,智伸科,8.193
4552,力達KY,10
4554,橙的,2.137
4555,氣立,6.688
4556,旭然,3.523
4557,F-永新,3.443
4560,強信-KY,6.525
4562,穎漢,6.755
4566,時碩工業,6.6
4609,唐鋒,4.795
4702,中美實,22.5
4703,揚華,6.574
4706,大恭,7.903
4707,磐亞,24.57
4711,永純,6.106
4712,南璋,6.052
4714,永捷,8.53
4716,大立,7.443
4720,德淵,8.858
4721,美琪瑪,7.499
4722,國精化,9.525
4725,信昌化,29.2
4726,永昕,11.21
4728,雙美,5.446
4729,熒茂,10.49
4733,上緯,8.859
4735,豪展,3.411
4736,泰博,7.833
4737,華廣,5.945
4739,康普,8.612
4741,泓瀚,3.284
4743,合一,19.58
4745,F-合富,5.77
4746,台耀,9.301
4747,強生,3.002
4754,國碳科技,1.563
4755,三福化,9.071
4762,F-三汰,2.072
4763,F-材料,4.648
4764,雙鍵,6.981
4803,F-VHQ,3.228
4804,F-大略,3.603
4806,昇華,3.175
4807,日成-KY,3.816
4903,聯光通,9.028
4904,遠傳,325.9
4905,台聯電,4.402
4906,正文,32.07
4907,富宇,11.81
4908,前鼎,7.763
4909,新復興,9.336
4911,德英,5.566
4912,F-聯德,3.954
4915,致伸,44.57
4916,事欣科,8.057
4919,新唐,20.76
4924,F-欣厚,3.716
4927,F-泰鼎,14.45
4930,燦星網,13.43
4933,友輝,7.733
4934,太極,35.65
4935,F-茂林,13.09
4938,和碩,261.4
4939,亞電,9.82
4942,嘉彰,14.24
4943,康控KY,10.72
4944,兆遠,21.15
4946,辣椒,2.732
4947,F-昂寶,5.599
4950,牧東,4.578
4952,凌通,10.88
4953,緯軟,4.388
4956,光鋐,10.04
4958,F-臻鼎,80.47
4960,奇美材,66.57
4965,商店街,3.445
4966,F-譜瑞,7.838
4968,立積,5.489
4971,F-IET,3.614
4972,湯石,3.981
4973,廣穎,6.478
4974,亞泰,7.25
4976,佳凌,11.56
4977,F-眾達,6.055
4979,華星光,9.097
4984,F-科納,4.62
4987,科誠,2.52
4991,F-環宇,8.044
4994,傳奇,11.06
4995,晶達,3.44
4999,鑫禾,7.442
5007,三星,29.49
5009,榮剛,46.67
5011,久陽,4.114
5013,強新,13.34
5014,建錩,16.53
5015,華祺,6.064
5016,松和,4.962
5102,富強,6.409
5201,凱衛,3.067
5202,力新,5.909
5203,訊連,8.707
5205,漢康,1.701
5206,坤悅,14.85
5209,新鼎,2.349
5210,寶碩,6.57
5211,蒙恬,3.202
5212,凌網,3.463
5213,亞昕,34.21
5215,F-科嘉,5.434
5225,F-東科,6.199
5227,F-立凱,21.06
5230,雷笛克,5.196
5234,達興,9.338
5243,F-乙盛,17.35
5245,智晶,4.663
5251,天鉞電,3.805
5255,美桀,4.512
5258,虹堡,7.454
5259,清惠,2.926
5263,智崴,4.468
5264,F-鎧勝,34.12
5266,F*AS,2.888
5269,祥碩,6.004
5272,笙科,5.796
5274,信驊,3.394
5276,F-達輝,3.95
5278,尚凡,1.425
5281,F-大峽,3.701
5284,F-jpp,3.889
5285,界霖,8.199
5287,數字,4.258
5288,F-豐祥,6.581
5289,宜鼎,7.201
5291,邑昇,3.355
5299,杰力,3.531
5301,寶得利,13.8
5302,太欣,16.24
5304,鼎創達,18.6
5305,敦南,31.11
5306,桂盟,12
5309,系統電,21.36
5310,天剛,4.96
5312,寶島科,6.006
5314,世紀,6
5315,光聯,10.64
5317,凱美,13.46
5321,友銓,2.88
5324,士開,10.64
5328,華容,17.27
5340,建榮,19.49
5344,立衛,7.945
5345,天揚,5
5347,世界,163.9
5348,系通,2.595
5349,先豐,22.41
5351,鈺創,43.69
5353,台林,7.5
5355,佳總,16.61
5356,協益,12.88
5364,力麗店,1.41
5371,中光電,43.44
5381,合正,18.02
5383,金利,5.01
5384,捷元,7.957
5386,青雲,1.352
5388,中磊,24.57
5392,應華,10.86
5395,圓方,7.615
5398,力瑋,4.995
5403,中菲,6.263
5410,國眾,8.59
5425,台半,24.11
5426,振發,14.38
5432,達威,2.069
5434,崇越,18.17
5438,東友,11.25
5439,高技,8.598
5443,均豪,16.51
5450,寶聯通,5.039
5452,佶優,14.88
5455,訊利電,6.55
5457,宣德,16.78
5460,同協,7.203
5464,霖宏,7.107
5465,富驊,14.41
5468,凱鈺,6.982
5469,瀚宇博,45.04
5471,松翰,16.79
5474,聰泰,3.373
5475,德宏,15.66
5478,智冠,12.75
5480,統盟,19.91
5481,華韡,9.469
5483,中美晶,59.21
5484,慧友,11.55
5487,通泰,2.213
5488,松普,9.159
5489,彩富,10.32
5490,同亨,9.44
5491,連展,20.73
5493,三聯,4.426
5498,凱崴,16.19
5508,永信建,21.74
5511,德昌,11.34
5512,力麒,74.4
5514,三豐,17.66
5515,建國,33.79
5516,雙喜,3.83
5519,隆大,18.31
5520,力泰,7.096
5521,工信,34.75
5522,遠雄,83.54
5523,豐謙,15.5
5525,順天,22.27
5529,志嘉,10.43
5530,龍巖,42.01
5531,鄉林,92.64
5533,皇鼎,28.52
5534,長虹,29.03
5536,聖暉,4.715
5538,F-東明,16.8
5543,F-崇佑,3.07
5601,台聯櫃,6.48
5603,陸海,7.832
5604,中連貨,10.88
5607,遠雄港,17
5608,四維航,42.36
5609,中菲行,12.9
5701,劍湖山,25.38
5703,亞都,7.024
5704,老爺知,3.886
5706,鳳凰,6.256
5820,日盛金,354.2
5871,F-中租,126.4
5878,台名,2.369
5880,合庫金,1220
5902,德記,9.45
5903,全家,22.32
5904,寶雅,9.769
5905,南仁湖,20.39
5906,F-台南,6
5907,F-大洋,19.75
6005,群益證,216.9
6015,宏遠證,36.82
6016,康和證,61.33
6020,大展證,25.24
6021,大慶證,30.68
6022,大眾證,37.78
6023,元大期,23.23
6024,群益期,16.04
6026, 福邦證,24.17
6101,弘捷,7.983
6103,合邦,5.708
6104,創惟,9.071
6105,瑞傳,9.974
6107,華美,8.744
6108,競國,15.99
6109,亞元,7.269
6111,大宇資,4.783
6112,聚碩,10.11
6113,亞矽,5.005
6114,久威,4.182
6115,鎰勝,18.77
6116,彩晶,323.4
6117,迎廣,8.865
6118,建達,9.089
6120,達運,66.56
6121,新普,18.5
6122,擎邦,6.873
6123,上奇,5.783
6124,業強,18.25
6125,廣運,25.4
6126,信音,12.04
6127,九豪,8.596
6128,上福,8.759
6129,普誠,18.09
6130,基因,2.67
6131,悠克,10.19
6133,金橋,11.7
6134,萬旭,9.427
6135,佳營,7.619
6136,富爾特,11.55
6138,茂達,10.28
6139,亞翔,22.55
6140,訊達,3.837
6141,柏承,13.31
6142,友勁,26.82
6143,振曜,8.328
6144,得利影,7.312
6145,勁永,32.55
6146,耕興,9.146
6147,頎邦,65.43
6148,驊宏資,9
6150,撼訊,3.026
6151,晉倫,5.526
6152,百一,16.94
6153,嘉聯益,32.32
6154,順發,8.008
6155,鈞寶,8.617
6156,松上,7.738
6158,禾昌,11.4
6160,欣技,6.849
6161,捷波,12.08
6163,華電網,10.35
6164,華興,10
6165,捷泰,4.968
6166,凌華,21.75
6167,久正,16.22
6168,宏齊,20.61
6169,昱泉,3.547
6170,統振,8.967
6171,亞銳士,7.535
6172,互億,3
6173,信昌電,17.2
6174,安,5
6175,立敦,13.79
6176,瑞儀,46.5
6177,達麗,23.38
6179,亞通,7.415
6180,橘子,16.85
6182,合晶,47.16
6183,關貿,15
6184,大豐電,15.82
6185,幃翔,12.36
6186,新潤,7.003
6187,萬潤,8.424
6188,廣明,27.84
6189,豐藝,17.9
6190,萬泰科,14.04
6191,精成科,51.55
6192,巨路,10.68
6194,育富,7.8
6195,詩肯,4.344
6196,帆宣,17.7
6197,佳必琪,13.01
6198,凌泰,2.014
6199,天品,6.176
6201,亞弘電,8.92
6202,盛群,22.62
6203,海韻電,7.995
6204,艾華,3.61
6205,詮欣,7.184
6206,飛捷,14.64
6207,雷科,8.395
6208,日揚,9.899
6209,今國光,16.3
6210,慶生,3.505
6212,理銘,10.2
6213,聯茂,30.3
6214,精誠,26.94
6215,和椿,8.279
6216,居易,8.156
6217,中探針,6.385
6218,豪勉,6.426
6219,富旺,15.4
6220,岳豐,12.46
6221,晉泰,3.979
6222,上揚,4.879
6223,旺矽,7.99
6224,聚鼎,8
6225,天瀚,10.13
6226,光鼎,11.63
6227,茂綸,7.611
6228,全譜,2.8
6229,研通,3.609
6230,超眾,8.634
6231,系微,3.804
6233,旺玖,8.457
6234,高僑,9.286
6235,華孚,16.54
6236,康呈,3.165
6237,驊訊,7.898
6238,勝麗,4.995
6239,力成,77.91
6240,松崗,2.31
6241,易通展,2.372
6242,立康,2.22
6243,迅杰,7.498
6244,茂迪,53.98
6245,立端,10.46
6246,臺龍,2.844
6247,淇譽電,6.032
6248,沛波,3.068
6250,宇加,1.825
6251,定穎,28.11
6257,矽格,35.99
6259,百徽,11.13
6261,久元,12.85
6263,普萊德,6.25
6264,富裔,11.64
6265,方土昶,11.82
6266,泰詠,9.22
6269,台郡,31.8
6270,倍微,7.215
6271,同欣電,16.54
6274,台燿,24.48
6275,元山,6.168
6276,安鈦克,3.373
6277,宏正,11.95
6278,台表科,29.54
6279,胡連,9.718
6281,全國電,9.917
6282,康舒,51.84
6283,淳安,13.39
6284,佳邦,10.26
6285,啟,36.68
6286,立錡,14.85
6287,元隆,31.81
6288,聯嘉,15.21
6289,華上,26.93
6290,良維,13.4
6291,沛亨,2.23
6292,迅德,4.69
6294,智基,2.128
6298,崴強,16.9
6404,F-通訊,3.79
6405,悅城,6.58
6409,旭隼,7.869
6411,晶焱,6.98
6412,群電,38.23
6414,樺漢,7.653
6415,F-矽力,8.772
6416,韋僑,6.8
6417,韋僑,3.561
6419,京晨科,2.781
6422,F-君耀,4.174
6426,統新,3.351
6431,F-光麗,4.564
6432,今展科,2.031
6435,大中,3.306
6438,迅得,5.28
6441,廣錠,2.876
6442,光聖,6.6
6443,元晶,47.69
6446,藥華藥,21.87
6449,鈺邦,7.609
6451,F-訊芯,10.54
6452,F-康友,7.8
6456,F-GIS,33.94
6457,紘康,2.888
6461,益得,8
6462,神盾,7.049
6464,台數科,12.69
6465,威潤,3.007
6469,大樹,3.05
6470,宇智,3.269
6472,保瑞,2.646
6477,安集,8.246
6482,弘煜科,1.56
6485,點序,3.422
6486,互動,4.618
6488,環球晶,43.72
6492,生華科,7.439
6494,九齊,2.656
6496,科懋,4.667
6497,亞獅康-KY,13.01
6499,益安,5.162
6504,南六,7.26
6505,台塑化,952.6
6506,雙邦,7.839
6508,惠光,8.325
6509,聚和,17.61
6510,精測,3.279
6512,啟發電,2.5
6514,F-芮特,2.456
6523,達爾膚,4.582
6525,F-捷敏,10.67
6530,創威,3.375
6531,愛普,7.087
6532,瑞耘,3.163
6533,晶心科,4.062
6535,順藥,9.537
6538,倉和,3.03
6541,泰福-KY,21.66
6542,隆中,3.15
6548,長華科,3.611
6552,易華電,10
6554,中美冠科-KY,14.52
6556,勝品,2.3
6560,欣普羅,1.715
6568,宏觀,2.47
6569,醫揚,2.001
6570,維田,2.71
6573,虹揚-KY,6.335
6574,霈方,2.199
6577,勁豐,3.825
6579,研揚,10.68
6581,鋼聯,11.13
6582,申豐,10.43
6591,動力-KY,2.37
6593,台灣銘板,1.957
6594,展匯科,1.93
6596,寬宏藝術,2.3
6603,富強鑫,12.94
6605,帝寶,16.58
6609,瀧澤科,7.104
6613,朋億,3.393
6615,慧智,2.109
6616,特昇-KY,2.362
6702,興航,75.87
6803,崑鼎,6.68
7402,邑錡,2.147
8011,台通,11.86
8016,矽創,12.05
8021,尖點,15.95
8024,佑華,4.601
8027,鈦昇,7.687
8032,光菱,5.181
8033,雷虎,10.94
8034,榮群,6.287
8038,長園科,5.655
8039,台虹,20.88
8040,九暘,8.273
8042,金山電,11.3
8043,蜜望實,7.991
8044,網家,11.72
8046,南電,64.62
8047,星雲,4.167
8048,德勝,5.326
8049,晶采,11.82
8050,廣積,12.35
8053,巨擘,41.18
8054,安國,7.378
8059,凱碩,9.112
8064,東捷,16.48
8066,來思達,3.015
8067,志旭,3
8068,全達,6.696
8069,元太,114
8070,長華,6.388
8071,能率豐,5.185
8072,陞泰,8
8074,鉅橡,8.118
8076,伍豐,25.16
8077,洛,10.97
8079,誠遠,8.02
8080,奧斯特,6.399
8081,致新,8.617
8082,漢承泰,10.66
8083,瑞穎,3.513
8084,巨虹,6.096
8085,福華,15.73
8086,宏捷科,14.39
8087,華鎂鑫,2.987
8088,品安,6.092
8091,翔名,4.248
8092,建暐,3.885
8093,保銳,6.421
8096,擎亞,13.96
8097,常珵,2.667
8099,大世科,6.72
8101,華冠,41.62
8103,瀚荃,8.14
8105,凌巨,44.15
8107,大億科,7.5
8109,博大,6.601
8110,華東,52.64
8111,立,11.71
8112,至上,36.9
8114,振樺電,10.61
8121,越峰,18.24
8131,福懋科,44.22
8147,正淩,2.489
8150,南茂,88.63
8155,博智,4.976
8163,達方,28
8171,天宇,5.149
8176,智捷,7.25
8182,加高,10.7
8183,精星,12.13
8201,無敵,6.237
8210,勤誠,11.97
8213,志超,27.12
8215,明基材,32.07
8222,寶一,6.846
8234,新漢,14.12
8240,華宏,10
8249,菱光,12.71
8255,朋程,7.486
8261,富鼎,8.129
8266,中日新,10.04
8271,宇瞻,10.09
8277,商丞,9.163
8279,生展,2.1
8287,英格爾,14.56
8289,泰藝,7.695
8291,尚茂,7.602
8299,群聯,19.71
8341,日友,11.15
8342,益張,3.304
8349,矬,10.41
8354,冠好,6.374
8358,金居,25.26
8374,羅昇,8.857
8383,千附,11.82
8390,金益鼎,9.567
8401,白紗科,6.057
8403,盛弘,7.929
8404,F-百和,26.53
8406,F-金可,9.245
8409,商之器,2.8
8410,森田,3.659
8411,F-福貞,17.54
8415,大國鋼,61.15
8416,實威,2.565
8418,F-必勝,7.3
8420,明揚,5.099
8421,旭源,5.348
8422,可寧衛,10.89
8423,F-保綠,2.002
8424,惠普,3.605
8426,F-紅木,5.069
8427,F-基勝,10.43
8429,F-金麗,17.96
8431,匯鑽科,4.424
8432,東生華,3.84
8433,弘帆,5.258
8435,鉅邁,3.17
8436,大江,8.701
8437,F-大地,3.378
8442,威宏KY,5
8443,阿瘦,6.68
8444,F-綠河,7.477
8446,華研,4.735
8450,霹靂,4.796
8454,富邦媒,14.21
8455,F-大拓,2.522
8462,柏文,4.799
8463,潤泰材,15
8464,億豐,29.3
8466,美吉吉KY,6.606
8467,F-波力,5.086
8472,夠麻吉,2.031
8473,山林水,13.22
8476,台境,3.399
8477,創業家,2.06
8478,東哥遊艇,9.457
8480,泰昇-KY,3.57
8481,政伸,6.66
8488,吉源-KY,6.75
8489,三貝德,3.002
8497,聯廣,3.65
8499,鼎炫-KY,5.175
8905,裕國,11.94
8906,花王,5.132
8908,欣雄,15.34
8913,全銓,0.74
8916,光隆,10.89
8917,欣泰,12.22
8921,沈氏,4.659
8923,時報,3.038
8924,大田,12.13
8925,偉盟,36.52
8926,台汽電,58.9
8927,北基,19.18
8928,鉅明,5.085
8929,富堡,4.27
8930,青鋼,6.742
8931,大汽電,11.64
8932,宏大,4.88
8933,愛地雅,17.84
8934,衡平,0.851
8935,邦泰,8.43
8936,國統,22.58
8937,合騏,7.248
8938,明安,13.53
8940,新天地,6.749
8941,關中,2.363
8942,森鉅,16.58
8996,高力,8.938
9103,美德醫,7.145
910322,康師傅,9.165
910482,聖馬丁,2.525
9105,泰金寶,41.49
9106,新焦點,18.79
910708,琱j健,11.33
910801,金衛,7.141
910861,神州,6.447
9110,越南控,0.382
911608,明輝,5.269
911611,中泰山,27.08
911612,滬安,23.77
911613,特藝,0.699
911616,杜康,11.14
911619,耀傑,5.769
911622,泰聚亨,55.81
911626,MSH,8.43
911868,同方友,3.562
912000,晨訊科,10.64
912398,友佳,0.191
9136,巨騰,4.61
9157,陽光能,1.415
9188,精熙,3.5
9802,F-鈺齊,14.62
9902,台火,9.805
9904,寶成,294.7
9905,大華,30.5
9906,欣巴巴,7.457
9907,統一實,157.9
9908,大台北,51.64
9910,豐泰,66.79
9911,櫻花,22.11
9912,偉聯,5.28
9914,美利達,29.9
9917,中保,45.12
9918,欣天然,18.05
9919,康那香,19.71
9921,巨大,37.51
9924,福興,18.85
9925,新保,38.37
9926,新海,17.95
9927,泰銘,20.91
9928,中視,15.07
9929,秋雨,16.88
9930,中聯資,22.59
9931,欣高,10.23
9933,中鼎,76.33
9934,成霖,36.69
9935,慶豐富,15.36
9937,全國,30.9
9938,百和,29.8
9939,宏全,29.29
9940,信義,65.15
9941,裕融,27.46
9942,茂順,8.316
9943,好樂迪,14.73
9944,新麗,10.91
9945,潤泰新,167.2
9946,三發,26.15
9949,琉園,4.703
9950,萬國通,9.972
9951,皇田,7.49
9955,佳龍,10.32
9958,世紀鋼,18.56
9960,邁達康,3.359
9962,有益,9.022
